순위,title,artist,장르
8위,Sparkling, 청하,댄스/팝
9위,TOMBOY, (여자)아이들,댄스/팝
10위,열이올라요 (Heart Burn), 선미,댄스/팝
11위,Clink Clink (클링 클링), WSG워너비 (오아시소),댄스/팝
12위,FEARLESS, LE SSERAFIM (르세라핌),댄스/팝
13위,I LOVE U, WINNER,댄스/팝
14위,That That (prod. & feat. SUGA of BTS), 싸이 (PSY),댄스/팝
15위,Nerdy, 퍼플키스 (PURPLE KISS),댄스/팝
16위,사랑인가 봐, 멜로망스(MeloMance),댄스/팝
17위,Stay This Way, 프로미스나인,댄스/팝
18위,ELEVEN, IVE (아이브),댄스/팝
19위,Feel My Rhythm, Red Velvet (레드벨벳),댄스/팝
20위,Next Level, aespa,댄스/팝
21위,봄여름가을겨울 (Still Life), BIGBANG (빅뱅),댄스/팝
22위,신호등, 이무진,댄스/팝
23위,INVU, 태연 (TAEYEON),댄스/팝
24위,Weekend, 태연 (TAEYEON),댄스/팝
25위,어마어마해, WSG워너비,댄스/팝
26위,SEOUL DRIFT, 지코,댄스/팝
27위,Life′s Too Short (English Ver.), aespa,댄스/팝
28위,SMILEY (Feat. BIBI), YENA (최예나),댄스/팝
29위,참고사항, 이무진,댄스/팝
30위,달빛바다, 프로미스나인,댄스/팝
31위,봄 to 러브, 10CM,댄스/팝
32위,러브 쉿!, 조유리,댄스/팝
33위,strawberry moon, 아이유(IU),댄스/팝
34위,라일락, 아이유(IU),댄스/팝
35위,Happy Birthday, 원어스 (ONEUS),댄스/팝
36위,Drive, 미연 ((여자)아이들),댄스/팝
37위,Happy Song, 멜로망스(MeloMance),댄스/팝
38위,나빌레라, 현아,댄스/팝
39위,Lemon, 로꼬,댄스/팝
40위,Dynamite, 방탄소년단,댄스/팝
41위,Celebrity, 아이유(IU),댄스/팝
42위,SHOUT OUT, ENHYPEN,댄스/팝
43위,Blueming, 아이유(IU),댄스/팝
44위,말리지 마, (여자)아이들,댄스/팝
45위,Butter, 방탄소년단,댄스/팝
46위,WALK THE LINE, ENHYPEN,댄스/팝
47위,Foreshadow, ENHYPEN,댄스/팝
48위,Beatbox, NCT DREAM,댄스/팝
49위,Skydivin’, 원어스 (ONEUS),댄스/팝
50위,ParadoXXX Invasion, ENHYPEN,댄스/팝
51위,NO THANKS, 효린,댄스/팝
52위,Copycat, Apink 초봄 (에이핑크 초봄),댄스/팝
53위,RUN2U, STAYC(스테이씨),댄스/팝
54위,Celeb, 싸이 (PSY),댄스/팝
55위,기울이면, 원슈타인,댄스/팝
56위,YOU AND I, WSG워너비 조별경연 (대청봉),댄스/팝
57위,Permission to Dance, 방탄소년단,댄스/팝
58위,DM, 프로미스나인,댄스/팝
59위,사건의 지평선, 윤하(Younha/ユンナ),댄스/팝
60위,Dun Dun Dance, 오마이걸(OH MY GIRL),댄스/팝
61위,TFW (That Feeling When), ENHYPEN,댄스/팝
62위,Savage, aespa,댄스/팝
63위,물고기, 백예린 (Yerin Baek),댄스/팝
64위,롤린 (Rollin'), 브레이브걸스(Brave Girls),댄스/팝
65위,낙하 (with 아이유), AKMU(악뮤),댄스/팝
66위,존재만으로, 원슈타인,댄스/팝
67위,Dreams Come True, aespa,댄스/팝
68위,Dolphin, 오마이걸(OH MY GIRL),댄스/팝
69위,Darl+ing, 세븐틴(SEVENTEEN),댄스/팝
70위,Last Sequence, 우주소녀,댄스/팝
71위,Future Perfect (Pass the MIC), ENHYPEN,댄스/팝
72위,아주 NICE, 세븐틴(SEVENTEEN),댄스/팝
73위,Real Love, 오마이걸(OH MY GIRL),댄스/팝
74위,ASAP, STAYC(스테이씨),댄스/팝
75위,마지막처럼, BLACKPINK,댄스/팝
76위,O.O, NMIXX,댄스/팝
77위,Step Back, GOT the beat,댄스/팝
78위,한 페이지가 될 수 있게, DAY6 (데이식스),댄스/팝
79위,Whisky on the Rock, 김연지,댄스/팝
80위,Queendom, Red Velvet (레드벨벳),댄스/팝
81위,Lovesick Girls, BLACKPINK,댄스/팝
82위,Black Mamba, aespa,댄스/팝
83위,Timeless, SG워너비,댄스/팝
84위,WE GO, 프로미스나인,댄스/팝
85위,Blue Flame, LE SSERAFIM (르세라핌),댄스/팝
86위,Flip That, 이달의 소녀,댄스/팝
87위,예뻤어, DAY6 (데이식스),댄스/팝
